municipio;codEstacao;uf;nomeEstacao;latitude;longitude;datahora;valorMedida
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-02 21:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-02 22:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-02 23:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-03 00:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-03 01:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-03 02:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-03 02:50:00.0;0,20
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-03 03:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-03 04:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-03 05:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-03 06:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-03 07:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-03 08:20:00.0;0,20
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-03 08:40:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-03 09:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-03 10:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-03 11:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-03 12:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-03 13:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-03 14:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-03 15:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-03 16:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-03 17:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-03 18:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-03 19:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-03 20:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-03 21:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-03 22:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-03 23:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-04 00:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-04 01:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-04 02:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-04 03:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-04 04:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-04 05:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-04 06:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-04 07:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-04 08:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-04 09:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-04 10:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-04 11:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-04 12:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-04 13:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-04 14:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-04 15:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-04 16:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-04 17:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-04 18:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-04 19:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-04 20:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-04 21:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-04 22:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-04 23:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-05 00:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-05 01:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-05 02:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-05 03:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-05 04:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-05 05:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-05 06:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-05 07:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-05 08:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-05 09:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-05 10:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-05 11:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-05 12:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-05 13:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-05 14:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-05 15:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-05 16:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-05 17:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-05 18:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-05 19:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-05 20:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-05 21:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-05 22:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-05 23:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-06 00:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-06 01:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-06 02:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-06 03:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-06 04:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-06 05:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-06 06:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-06 07:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-06 08:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-06 09:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-06 10:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-06 11:30:00.0;0,00
